195038,401,508,0
5054,407,513,0
5070,402,507,0
5004,400,511,0
5021,405,511,0
5038,401,508,0
5054,407,513,0
5070,402,507,0
5088,398,505,0
2011,447,568,0
2022,442,558,0
2033,436,551,0
2044,431,545,0
2056,426,539,0
2066,423,536,0
2077,418,529,0
2088,420,531,0
2100,415,527,0
2111,409,521,0
2125,413,521,0
2142,412,520,0
2159,409,514,0
2176,401,511,0
2192,412,519,0
2208,407,514,0
2226,404,511,0
2242,404,510,0
2258,406,512,0
2275,404,511,0
2292,402,510,0
2309,403,513,0
2325,402,511,0
2341,402,509,0
2359,402,508,0
2375,405,517,0
2392,397,508,0
2408,398,509,0
2425,398,509,0
2442,404,514,0
2458,400,513,0
2475,395,506,0
2492,400,511,0
2508,403,509,0
2525,401,513,0
2541,404,513,0
2558,402,506,0
2575,400,507,0
2591,404,511,0
2608,404,512,0
2625,403,508,0
2641,397,506,0
2658,400,509,0
2674,404,512,0
2692,400,514,0
2708,395,510,0
2724,403,506,0
2741,398,511,0
2758,399,510,0
2775,408,514,0
2791,402,507,0
2807,396,505,0
2825,402,512,0
2841,405,512,0
2857,406,511,0
2874,400,507,0
2891,402,506,0
2908,402,513,0
2924,404,509,0
2940,405,510,0
2958,400,508,0
2974,395,505,0
2991,406,510,0
3007,402,513,0
3024,401,510,0
3041,398,505,0
3057,402,507,0
3074,399,510,0
3091,404,513,0
3107,403,512,0
3124,401,506,0
3140,398,507,0
3158,403,510,0
3174,408,512,0
3190,400,510,0
3207,399,509,0
3224,401,510,0
3240,397,508,0
3257,405,511,0
3273,403,513,0
3291,398,507,0
3307,399,510,0
3323,400,507,0
3340,404,511,0
3357,401,513,0
3374,401,510,0
3390,401,510,0
3406,396,506,0
3424,404,513,0
3440,400,512,0
3457,401,508,0
3473,402,504,0
3490,401,509,0
3507,405,512,0
3523,399,512,0
3539,402,511,0
3557,400,506,0
3573,397,505,0
3590,402,508,0
3606,403,511,0
3623,398,510,0
3640,405,507,0
3656,402,511,0
3673,404,506,0
3690,405,510,0
3706,404,510,0
3723,408,510,0
3739,401,507,0
3757,400,505,0
3773,406,511,0
3789,401,509,0
3806,399,507,0
3823,404,508,0
3840,396,506,0
3856,402,511,0
3872,404,513,0
3890,398,512,0
3906,403,509,0
3922,400,508,0
3939,403,513,0
3956,404,513,0
3973,399,511,0
3989,406,506,0
4005,401,509,0
4023,403,508,0
4039,410,510,0
4056,405,512,0
4072,400,507,0
4089,401,509,0
4106,404,509,0
4122,403,511,0
4139,403,512,0
