9380,483,580,0
9397,494,581,1
9414,499,579,1
9431,477,580,0
9447,469,578,0
9348,473,579,0
9364,464,580,0
9380,483,580,0
9397,494,581,1
9414,499,579,1
9431,477,580,0
9447,469,578,0
2011,446,575,0
2022,459,580,0
2033,457,581,0
2044,449,576,0
2056,449,572,0
2066,475,561,0
2077,498,573,1
2088,551,574,1
2100,603,594,1
2111,606,600,1
2125,533,588,1
2142,513,573,1
2159,548,578,1
2176,522,549,1
2192,464,549,0
2208,397,568,0
2226,360,581,0
2242,430,591,0
2258,488,588,1
2275,563,584,1
2292,589,569,1
2309,495,570,1
2325,473,560,0
2341,428,547,0
2359,338,579,0
2375,378,581,0
2392,440,584,0
2408,433,582,0
2425,444,574,0
2442,454,567,0
2458,437,569,0
2475,454,571,0
2492,451,571,0
2508,450,566,0
2525,468,566,0
2541,511,555,1
2558,553,562,1
2575,586,551,1
2591,588,606,1
2608,560,601,1
2625,522,570,1
2641,492,570,1
2658,514,586,1
2674,504,573,1
2692,485,581,1
2708,493,554,1
2724,480,565,0
2741,429,560,0
2758,387,591,0
2775,364,592,0
2791,407,586,0
2807,464,568,0
2825,461,591,0
2841,445,560,0
2857,460,558,0
2874,474,556,0
2891,471,535,0
2908,453,532,0
2924,817,540,1
2940,518,486,1
2958,615,636,1
2974,592,536,1
2991,438,588,0
3007,511,584,1
3024,508,585,1
3041,515,586,1
3057,516,591,1
3074,512,573,1
3091,480,590,0
3107,454,563,0
3124,377,560,0
3140,414,540,0
3158,677,558,1
3174,518,565,1
3190,603,571,1
3207,641,553,1
3224,588,550,1
3240,588,553,1
3257,588,544,1
3273,557,630,1
3291,580,566,1
3307,489,523,1
3323,468,571,0
3340,449,554,0
3357,381,567,0
3374,357,589,0
3390,454,586,0
3406,450,588,0
3424,445,572,0
3440,458,560,0
3457,468,573,0
3473,458,552,0
3490,462,549,0
3507,525,501,1
3523,425,481,0
3539,594,617,1
3557,477,532,0
3573,505,605,1
3590,582,582,1
3606,471,555,0
3623,486,596,1
3640,532,588,1
3656,518,582,1
3673,527,601,1
3690,524,576,1
3706,489,590,1
3723,490,572,1
3739,490,577,1
3757,492,584,1
3773,492,570,1
3789,475,580,0
3806,433,576,0
3823,591,581,1
3840,592,583,1
3856,553,572,1
3872,515,577,1
3890,570,543,1
3906,492,526,1
3922,459,543,0
3939,416,546,0
3956,166,575,0
3973,487,512,1
3989,451,553,0
4005,384,551,0
4023,396,583,0
4039,404,583,0
4056,396,599,0
4072,466,553,0
4089,501,565,1
4106,522,570,1
4122,573,574,1
4139,542,571,1
4156,501,584,1
4172,514,579,1
4189,547,572,1
4205,506,553,1
4222,478,563,0
4239,444,557,0
4255,264,613,0
4272,431,565,0
4289,460,586,0
4305,419,585,0
4322,419,610,0
4338,470,547,0
4356,499,576,1
4372,526,574,1
4388,553,568,1
4405,551,572,1
4422,531,572,1
4439,520,570,1
4455,491,557,1
4471,394,588,0
4489,458,548,0
4505,313,567,0
4521,329,556,0
4538,362,558,0
4555,407,595,0
4572,389,605,0
4588,469,543,0
4604,503,552,1
4622,502,568,1
4638,555,570,1
4655,563,576,1
4671,537,584,1
4688,511,584,1
4705,502,580,1
4721,507,569,1
4738,506,558,1
4755,502,556,1
4771,493,550,1
4788,266,581,0
4804,458,531,0
4822,300,569,0
4838,458,594,0
4854,429,574,0
4871,403,611,0
4888,438,571,0
4904,441,575,0
4921,485,558,1
4937,530,578,1
4955,565,566,1
4971,557,577,1
4987,514,583,1
5004,518,573,1
5021,510,561,1
5038,497,568,1
5054,487,556,1
5070,490,544,1
5088,224,608,0
5104,350,542,0
5121,529,576,1
5137,517,543,1
5154,476,594,0
5171,375,591,0
5187,452,567,0
5203,436,586,0
5221,424,607,0
5237,440,558,0
5254,465,568,0
5270,472,559,0
5287,455,566,0
5304,455,560,0
5320,476,538,0
5337,485,549,1
5354,517,545,1
5370,627,675,1
5387,449,489,0
5403,543,628,1
5421,577,554,1
5437,519,567,1
5453,518,603,1
5470,540,588,1
5487,499,574,1
5504,490,560,1
5520,495,581,1
5536,498,566,1
5554,473,577,0
5570,448,575,0
5586,400,574,0
5603,381,576,0
5620,462,559,0
5637,459,574,0
5653,426,521,0
5669,814,686,1
5687,564,499,1
5703,728,536,1
5720,514,558,1
5736,603,562,1
5753,540,579,1
5770,508,625,1
5786,546,564,1
5803,485,565,1
5820,465,559,0
5836,457,570,0
5853,390,566,0
5869,403,575,0
5886,444,577,0
5903,450,567,0
5919,449,553,0
5936,447,547,0
5953,610,490,1
5969,454,458,0
5986,486,589,1
6002,574,547,1
6020,629,577,1
6036,470,587,0
6052,490,601,1
6069,474,577,0
6086,463,585,0
6103,440,560,0
6119,679,641,1
6135,533,542,1
6153,562,588,1
6169,543,580,1
6185,515,591,1
6202,524,582,1
6219,515,590,1
6236,484,563,0
6252,440,568,0
6268,372,564,0
6286,426,563,0
6302,438,564,0
6319,435,541,0
6335,610,559,1
6352,623,537,1
6369,646,545,1
6385,600,535,1
6402,598,556,1
6419,566,588,1
6435,612,615,1
6452,527,539,1
6468,478,562,0
6486,446,541,0
6502,394,582,0
6518,415,572,0
6535,455,581,0
6552,456,571,0
6568,413,561,0
6585,461,553,0
6601,481,551,0
6619,762,639,1
6635,565,520,1
6651,521,598,1
6668,613,571,1
6685,487,570,1
6702,555,587,1
6718,549,598,1
6734,522,588,1
6752,471,565,0
6768,428,547,0
6785,373,573,0
6801,434,560,0
6818,447,577,0
6835,441,539,0
6851,863,652,1
6867,559,543,1
6885,554,548,1
6901,598,558,1
6918,594,558,1
6934,572,582,1
6951,625,615,1
6968,545,554,1
6984,466,563,0
7001,422,554,0
7018,462,594,0
7034,423,583,0
7051,474,573,0
7067,454,581,0
7085,409,555,0
7101,440,558,0
7117,475,546,0
7134,576,517,1
7151,648,516,1
7168,387,590,0
7184,580,534,1
7200,461,550,0
7218,526,575,1
7234,499,594,1
7250,507,575,1
7267,535,605,1
7284,524,582,1
7301,501,598,1
7317,499,574,1
7333,472,577,0
7351,426,566,0
7367,358,580,0
7384,439,548,0
7400,452,569,0
7417,530,640,1
7434,527,502,1
7450,601,559,1
7467,556,563,1
7484,588,559,1
7500,590,494,1
7517,572,574,1
7533,659,631,1
7550,518,539,1
7567,441,561,0
7583,436,539,0
7600,409,588,0
